Objective,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,505657,38767.70419474,1076623,18208.00874587,2.12915672,15000,19521,1.81316951,1004.20885201,1.39324536,1306.8774,1852,0.23542117,436,44961.37844037,742,26419.35444744,mixed,,,19603161,2025-12-26,2026-01-25
OUTCOME_SALES,,,135499,100501.73064008,335939,40536.77602184,2.47927291,1377,4416,1.31452436,3083.75996377,0.40989584,9889.5308642,1307,0.26243305,343,39702.28571429,267,51003.31086142,"Messaging conversations started",343,39702.28571429,13617884,2025-12-26,2026-01-25
LINK_CLICKS,,,402799,14859.21514204,740684,8080.74293491,1.8388427,13623,15105,2.03933121,396.24475339,1.83924589,439.35087719,545,0.1706422,93,64357.8172043,475,12600.58315789,,,,5985277,2025-12-26,2026-01-25
