"Campaign name",Ads,Objective,Region,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","UGC || Ads 1 || 15/12/25 (manual upload); UGC || Ads 2 || 15/12/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Banten,active,campaign,560,44105.35714286,677,36483.01329394,1.20892857,2,11,1.62481536,2245.36363636,0.29542097,12349.5,2,,,,1,24699,,,,24699,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 3 - (carousel, ceramic coating);...and 1 more ad",OUTCOME_SALES,"West Java",active,campaign,769,31602.08062419,1023,23755.62072336,1.33029909,2,8,0.78201369,3037.75,0.19550342,12151,2,,,,0,,,,,24302,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 5 - (carousel, nano ceramic, auto detailing;...and 1 more ad",OUTCOME_SALES,Banten,active,campaign,910,26237.36263736,2350,10160,2.58241758,10,26,1.10638298,918.30769231,0.42553191,2387.6,7,,,,0,,,,,23876,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic  || 17/12/25 - [ New Creative ]","Ads ppf 3",LINK_CLICKS,"West Java",active,campaign,199,113864.32160804,346,65488.43930636,1.73869347,1,3,0.86705202,7553,0.28901734,22659,1,,,,0,,,,,22659,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","UGC || Ads 2 || 15/12/25 (manual upload);...and 3 more ads",OUTCOME_SALES,Banten,active,campaign,540,41914.81481481,668,33883.23353293,1.23703704,7,19,2.84431138,1191.26315789,1.04790419,3233.42857143,7,,,,1,22634,,,,22634,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","NCC || BOF || Ads 2 || 15/12/25 (manual upload);...and 3 more ads",OUTCOME_SALES,"West Java",active,campaign,657,34100.456621,812,27591.13300493,1.23592085,3,9,1.10837438,2489.33333333,0.36945813,7468,3,,,,0,,,,,22404,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","before after_satisfiying_reels || 30/11/25;...and 3 more ads",OUTCOME_SALES,"West Java",active,campaign,312,71612.17948718,564,39615.24822695,1.80769231,2,5,0.88652482,4468.6,0.35460993,11171.5,2,,,,0,,,,,22343,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || UGC || 31/10/25 (RT All Engaged IG)","UGC || Ads 2 || 31/10/25 (manual upload);...and 1 more ad",LINK_CLICKS,"West Java",inactive,campaign,468,42585.47008547,537,37113.59404097,1.1474359,1,11,2.04841713,1811.81818182,0.18621974,19930,1,,,,1,19930,,,,19930,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 1 - (PPF, before-after, benefit ppf);...and 2 more ads",OUTCOME_SALES,"West Java",active,campaign,451,44048.7804878,598,33220.73578595,1.32594235,2,2,0.33444816,9933,0.33444816,9933,2,,,,0,,,,,19866,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","before after_satisfiying_reels || 15/12/25;...and 3 more ads",OUTCOME_SALES,Jakarta,active,campaign,438,42634.70319635,581,32141.13597246,1.32648402,3,12,2.06540448,1556.16666667,0.51635112,6224.66666667,3,,,,0,,,,,18674,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic  || 17/12/25 - [ New Creative ]","Ads ppf 2",LINK_CLICKS,"West Java",active,campaign,305,61101.63934426,418,44583.73205742,1.3704918,1,4,0.9569378,4659,0.23923445,18636,1,,,,0,,,,,18636,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 5 - (carousel, nano ceramic, auto detailing;...and 1 more ad",OUTCOME_SALES,"West Java",active,campaign,892,20672.64573991,2838,6497.53347428,3.18161435,8,15,0.52854123,1229.33333333,0.28188865,2305,4,,,,1,18440,,,,18440,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","ADS 1 || 15/12/25;...and 3 more ads",OUTCOME_SALES,"West Java",active,campaign,310,56070.96774194,390,44569.23076923,1.25806452,1,4,1.02564103,4345.5,0.25641026,17382,1,,,,0,,,,,17382,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","UGC || Ads 1 || 30/11/25 (manual upload);...and 3 more ads",OUTCOME_SALES,Banten,active,campaign,279,61706.09318996,342,50339.18128655,1.22580645,,6,1.75438596,2869.33333333,,,,,,,3,5738.66666667,,,,17216,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 5 - (carousel, nano ceramic, auto detailing",OUTCOME_SALES,"West Java",active,campaign,555,30990.99099099,1669,10305.57219892,3.00720721,6,13,0.77890953,1323.07692308,0.3594967,2866.66666667,4,,,,0,,,,,17200,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","UGC || Ads 1 || 30/11/25 (manual upload);...and 3 more ads",OUTCOME_SALES,"West Java",active,campaign,277,61740.07220217,331,51667.67371601,1.19494585,2,3,0.90634441,5700.66666667,0.60422961,8551,2,,,,0,,,,,17102,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 2 - (before- after, ceramic coating);...and 2 more ads",OUTCOME_SALES,Banten,active,campaign,362,44814.91712707,553,29336.34719711,1.52762431,2,3,0.54249548,5407.66666667,0.36166365,8111.5,2,,,,0,,,,,16223,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","before after_satisfiying_reels || 15/12/25;...and 3 more ads",OUTCOME_SALES,Banten,active,campaign,341,46143.69501466,490,32112.24489796,1.43695015,3,7,1.42857143,2247.85714286,0.6122449,5245,3,,,,0,,,,,15735,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 3 - (carousel, ceramic coating)",OUTCOME_SALES,Jakarta,active,campaign,307,39612.37785016,346,35147.39884393,1.12703583,2,4,1.15606936,3040.25,0.57803468,6080.5,2,,,,0,,,,,12161,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","PPF || BOF || Ads 3 || 17/11/25 (manual upload);...and 1 more ad",OUTCOME_SALES,Banten,inactive,campaign,319,36354.23197492,404,28705.44554455,1.26645768,1,4,0.99009901,2899.25,0.24752475,11597,1,,,,0,,,,,11597,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || UGC || 31/10/25 (RT All Engaged IG)","UGC || Ads 2 || 31/10/25 (manual upload)",LINK_CLICKS,Jakarta,inactive,campaign,256,43785.15625,263,42619.77186312,1.02734375,3,6,2.28136882,1868.16666667,1.14068441,3736.33333333,3,,,,1,11209,,,,11209,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 2 - (before- after, ceramic coating);...and 2 more ads",OUTCOME_SALES,"West Java",active,campaign,321,31757.00934579,545,18704.58715596,1.69781931,,1,0.18348624,10194,,,,,,,0,,,,,10194,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","UGC || Ads 1 || 15/12/25 (manual upload); UGC || Ads 2 || 15/12/25 (manual upload);...and 2 more ads",OUTCOME_SALES,"West Java",active,campaign,230,38304.34782609,287,30696.8641115,1.24782609,,0,,,,,,,,,0,,,,,8810,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 3 - (carousel, ceramic coating)",OUTCOME_SALES,Banten,active,campaign,192,33250,213,29971.83098592,1.109375,,3,1.4084507,2128,,,,,,,0,,,,,6384,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 3 - (carousel, ceramic coating)",OUTCOME_SALES,"West Java",active,campaign,150,42140,170,37182.35294118,1.13333333,3,3,1.76470588,2107,1.76470588,2107,3,,,,0,,,,,6321,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || UGC || 31/10/25 (RT All Engaged IG)","UGC || Ads 2 || 31/10/25 (manual upload)",LINK_CLICKS,Banten,inactive,campaign,137,42124.08759124,142,40640.84507042,1.03649635,1,3,2.11267606,1923.66666667,0.70422535,5771,1,,,,0,,,,,5771,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","UGC || Ads 2 || 15/12/25 (manual upload);...and 3 more ads",OUTCOME_SALES,"West Java",active,campaign,170,26705.88235294,189,24021.16402116,1.11176471,1,3,1.58730159,1513.33333333,0.52910053,4540,1,,,,0,,,,,4540,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","before after_satisfiying_reels || 15/12/25;...and 3 more ads",OUTCOME_SALES,"West Java",active,campaign,100,33690,137,24591.24087591,1.37,,1,0.72992701,3369,,,,,,,0,,,,,3369,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","PPF || BOF || Ads 3 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Jakarta,inactive,campaign,71,43183.09859155,81,37851.85185185,1.14084507,,1,1.2345679,3066,,,,,,,0,,,,,3066,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","PPF || BOF || Ads 3 || 17/11/25 (manual upload);...and 1 more ad",OUTCOME_SALES,"West Java",inactive,campaign,74,30972.97297297,91,25186.81318681,1.22972973,,0,,,,,,,,,0,,,,,2292,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || UGC || 31/10/25 (RT All Engaged IG)","UGC || Ads 2 || 31/10/25 (manual upload)",LINK_CLICKS,"West Java",inactive,campaign,54,42018.51851852,58,39120.68965517,1.07407407,1,1,1.72413793,2269,1.72413793,2269,1,,,,0,,,,,2269,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","PPF || BOF || Ads 3 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Banten,inactive,campaign,35,62228.57142857,37,58864.86486486,1.05714286,,0,,,,,,,,,0,,,,,2178,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 1 || 17/11/25 (manual upload);...and 1 more ad",OUTCOME_SALES,Jakarta,inactive,campaign,48,34437.5,50,33060,1.04166667,,0,,,,,,,,,0,,,,,1653,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 1 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Jakarta,inactive,campaign,30,53866.66666667,32,50500,1.06666667,,0,,,,,,,,,0,,,,,1616,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","SP || BOF || Ads 4 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Jakarta,inactive,campaign,32,24406.25,35,22314.28571429,1.09375,,0,,,,,,,,,0,,,,,781,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 1 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Banten,inactive,campaign,21,35238.0952381,26,28461.53846154,1.23809524,,0,,,,,,,,,0,,,,,740,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 1 || 17/11/25 (manual upload);...and 1 more ad",OUTCOME_SALES,Banten,inactive,campaign,16,29687.5,18,26388.88888889,1.125,,0,,,,,,,,,0,,,,,475,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","SP || BOF || Ads 4 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Banten,inactive,campaign,19,22526.31578947,24,17833.33333333,1.26315789,,0,,,,,,,,,0,,,,,428,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 1 || 17/11/25 (manual upload);...and 1 more ad",OUTCOME_SALES,"West Java",inactive,campaign,6,23166.66666667,7,19857.14285714,1.16666667,,0,,,,,,,,,0,,,,,139,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","PPF || BOF || Ads 3 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,"West Java",inactive,campaign,5,12000,7,8571.42857143,1.4,,0,,,,,,,,,0,,,,,60,2025-11-26,2025-12-25
