Objective,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Messaging conversations started,Cost per messaging conversation started,Instagram follows,Outbound clicks,Results,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
OUTCOME_SALES,581060,1001979,763.4679263799998,3882,12123,42799065,570,75086.07894736843,594,3804,570,42714.5329393131,0.38743326955954166,11025.003863987635,2025-11-26,2025-12-25
LINK_CLICKS,930394,1359600,201.04895580000002,32541,35832,11243904,78,144152.61538461538,756,681,21510,8270.008826125331,2.39342453662842,345.53037706278235,2025-11-26,2025-12-25
