Gender,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Messaging conversations started,Cost per messaging conversation started,Instagram follows,Outbound clicks,Results,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
male,457155,762345,273.7557284599999,12051,15688,17057570,295,57822.27118644068,434,1419,11011,22375.13199404469,1.5807803553509236,1415.4485104970543,2025-11-26,2025-12-25
female,10386,15696,176.80882227999996,68,240,861243,23,37445.34782608696,13,68,23,54870.22171253822,0.4332313965341488,12665.338235294117,2025-11-26,2025-12-25
unknown,8408,9152,160.00230773000004,22,57,95510,6,15918.333333333334,3,8,6,10435.97027972028,0.2403846153846154,4341.363636363636,2025-11-26,2025-12-25
