Age,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Messaging conversations started,Cost per messaging conversation started,Instagram follows,Outbound clicks,Results,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
25-34,332395,551403,137.33822727999998,10030,12268,7933075,120,66108.95833333333,270,705,9538,14387.072612952776,1.8189962695161253,790.9346959122632,2025-11-26,2025-12-25
35-44,81808,134669,125.99168514,1675,2628,5804313,116,50037.18103448276,127,406,1380,43100.587366060485,1.243790330365563,3465.2614925373136,2025-11-26,2025-12-25
45-54,15759,26238,119.33769120000002,174,440,2261062,38,59501.63157894737,27,139,71,86175.0895647534,0.6631603018522754,12994.6091954023,2025-11-26,2025-12-25
18-24,32924,58805,67.43502939000001,159,432,891204,17,52423.76470588235,19,157,17,15155.241901198877,0.2703851713289686,5605.056603773585,2025-11-26,2025-12-25
55-64,4114,6352,79.09686626000001,73,147,905506,25,36220.24,7,73,25,142554.47103274558,1.149244332493703,12404.191780821919,2025-11-26,2025-12-25
65+,1396,2159,68.95556869,15,35,197584,4,49396,,15,4,91516.44279759147,0.6947660954145438,13172.266666666666,2025-11-26,2025-12-25
Unknown,7553,7567,12.41179051,15,35,21579,4,5394.75,,,5,2851.7245936302365,0.19822915290075327,1438.6,2025-11-26,2025-12-25
