Region,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Instagram follows,Outbound clicks,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
Jakarta,225058,361949,54.49427284999999,5171,7118,9794947,214,770,27061.677197616238,1.4286543131767182,1894.2075033842584,2025-11-26,2025-12-25
Banten,170616,282902,56.89183294,4608,5877,5538503,161,486,19577.461453082695,1.6288325992746606,1201.9320746527778,2025-11-26,2025-12-25
West Java,91457,142342,54.35582991,2362,2990,2680873,75,239,18834.026499557403,1.6593837377583565,1135.0012701100761,2025-11-26,2025-12-25
