Gender,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,787193,12141,1.54231554,1495,324,55599.76234568,450,40031.82888889,18014323,15374,2025-11-26,2025-12-25
male,762345,12051,1.58078036,1419,295,57822.27118644,434,39303.15668203,17057570,15125,2025-11-26,2025-12-25
female,15696,68,0.4332314,68,23,37445.34782609,13,66249.46153846,861243,223,2025-11-26,2025-12-25
unknown,9152,22,0.24038462,8,6,15918.33333333,3,31836.66666667,95510,26,2025-11-26,2025-12-25
