Region,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,787193,12141,1.54231554,1495,324,55599.76234568,450,40031.82888889,18014323,15374,2025-11-26,2025-12-25
Jakarta,361946,5171,1.42866615,770,,,214,45770.71962617,9794934,,2025-11-26,2025-12-25
Banten,282905,4608,1.62881533,486,,,161,34400.76397516,5538523,,2025-11-26,2025-12-25
"West Java",142342,2362,1.65938374,239,,,75,35744.88,2680866,,2025-11-26,2025-12-25
