Age,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,787193,12141,1.54231554,1495,324,55599.76234568,450,40031.82888889,18014323,15374,2025-11-26,2025-12-25
25-34,551403,10030,1.81899627,705,120,66108.95833333,270,29381.75925926,7933075,12153,2025-11-26,2025-12-25
35-44,134669,1675,1.24379033,406,116,50037.18103448,127,45703.2519685,5804313,2308,2025-11-26,2025-12-25
45-54,26238,174,0.6631603,139,38,59501.63157895,27,83743.03703704,2261062,354,2025-11-26,2025-12-25
55-64,6352,73,1.14924433,73,25,36220.24,7,129358,905506,85,2025-11-26,2025-12-25
18-24,58805,159,0.27038517,157,17,52423.76470588,19,46905.47368421,891204,444,2025-11-26,2025-12-25
65+,2159,15,0.6947661,15,4,49396,0,,197584,29,2025-11-26,2025-12-25
Unknown,7567,15,0.19822915,,4,5394.75,0,,21579,1,2025-11-26,2025-12-25
