Placement,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,288931,1402,0.48523696,1388,172,64943.09302326,164,68111.04878049,11170212,3535,2025-10-26,2025-11-25
"Instagram Stories",137951,1051,0.76186472,1051,79,54840.94936709,71,61020.21126761,4332435,1388,2025-10-26,2025-11-25
Feed,78450,165,0.21032505,154,56,73631.82142857,53,77799.66037736,4123382,913,2025-10-26,2025-11-25
"Instagram Reels",71185,186,0.261291,183,37,72866.27027027,40,67401.3,2696052,1224,2025-10-26,2025-11-25
Explore,387,,,,,,0,,10636,4,2025-10-26,2025-11-25
"Explore home",958,,,,,,0,,7707,6,2025-10-26,2025-11-25
