Placement,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,787193,12141,1.54231554,1495,324,55599.76234568,450,40031.82888889,18014323,15374,2025-11-26,2025-12-25
"Instagram Reels",349755,5717,1.63457277,337,118,63489.36440678,179,41853.32402235,7491745,7315,2025-11-26,2025-12-25
"Instagram Stories",310472,5861,1.88777088,946,106,49527.05660377,177,29660.27118644,5249868,6495,2025-11-26,2025-12-25
Feed,113940,531,0.46603476,210,96,54210.98958333,94,55364.41489362,5204255,1532,2025-11-26,2025-12-25
Explore,1377,3,0.21786492,1,,,0,,31930,8,2025-11-26,2025-12-25
Status,7850,14,0.17834395,,4,5318.25,0,,21273,0,2025-11-26,2025-12-25
"Explore home",3799,15,0.39484075,1,,,0,,15252,24,2025-11-26,2025-12-25
