Age,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,288931,1402,0.48523696,1388,172,64943.09302326,164,68111.04878049,11170212,3535,2025-10-26,2025-11-25
35-44,69781,417,0.59758387,414,60,64588.78333333,53,73119.37735849,3875327,806,2025-10-26,2025-11-25
25-34,138962,571,0.4109037,567,64,57773.984375,58,63750.60344828,3697535,1892,2025-10-26,2025-11-25
45-54,24296,191,0.78613764,185,32,58090.25,24,77453.66666667,1858888,268,2025-10-26,2025-11-25
18-24,46143,138,0.29907028,137,10,85328.2,20,42664.1,853282,469,2025-10-26,2025-11-25
55-64,7422,69,0.92966855,69,5,147229.2,7,105163.71428571,736146,76,2025-10-26,2025-11-25
65+,2325,16,0.68817204,16,1,148988,2,74494,148988,24,2025-10-26,2025-11-25
Unknown,2,,,,,,0,,46,0,2025-10-26,2025-11-25
