Objective,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,787193,12141,1.54231554,1495,324,55599.76234568,450,40031.82888889,18014323,15374,2025-11-26,2025-12-25
OUTCOME_SALES,333993,1294,0.38743327,1268,285,50057.38596491,198,72052.2979798,14266355,4046,2025-11-26,2025-12-25
LINK_CLICKS,453200,10847,2.39342454,227,39,96101.74358974,252,14872.88888889,3747968,11328,2025-11-26,2025-12-25
