Objective,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
OUTCOME_SALES,,,68908,34148.48783886,105820,22236.85503686,1.53567075,373,972,0.91854092,2420.88888889,0.35248535,6308.58981233,372,0.48655914,181,13000.57458564,702,36,65364,"Messaging conversations started",181,13000.57458564,2353104,2026-01-23,2026-01-29
LINK_CLICKS,,,12481,11273.21528724,14342,9810.41695719,1.14910664,353,344,2.39854971,409.01453488,2.46130247,398.58640227,,,,,376,40,3517.525,"Instagram profile visits",376,374.20478723,140701,2026-01-23,2026-01-29
