Region,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
Jakarta,,,38339,36232.60909257,60107,23110.81903938,1.56777694,341,679,1.12965212,2045.83505155,0.56732161,4073.67155425,177,,,,,46,30198.30434783,,,,1389122,2026-01-23,2026-01-29
"West Java",,,26788,21586.53128266,35515,16282.13430945,1.3257802,229,384,1.08123328,1505.88541667,0.64479797,2525.15283843,100,,,,,17,34015.29411765,,,,578260,2026-01-23,2026-01-29
Banten,,,18063,29143.719205,24540,21451.62999185,1.35857831,156,253,1.03096985,2080.72332016,0.63569682,3374.50641026,95,,,,,13,40494.07692308,,,,526423,2026-01-23,2026-01-29
