Placement,Platform,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
"Instagram Reels",instagram,,,65819,21543.08026558,85519,16580.45580514,1.29930567,657,1033,1.20791871,1372.64666021,0.76825033,2158.21004566,189,,69,20549.91304348,888,26,54536.30769231,,,,1417944,2026-01-30,2026-02-05
Feed,instagram,,,20955,42000.85898354,34025,25867.09772226,1.62371749,139,301,0.88464364,2924.01328904,0.40852314,6331.85611511,90,,57,15440.84210526,254,19,46322.52631579,,,,880128,2026-01-30,2026-02-05
"Instagram Stories",instagram,,,10793,52116.00111183,19840,28351.20967742,1.83822848,262,370,1.86491935,1520.23783784,1.32056452,2146.90076336,189,,26,21634.15384615,260,19,29604.63157895,,,,562488,2026-01-30,2026-02-05
Explore,instagram,,,159,15849.05660377,184,13695.65217391,1.1572327,1,3,1.63043478,840,0.54347826,2520,,,,,3,0,,,,,2520,2026-01-30,2026-02-05
"Explore home",instagram,,,299,3033.44481605,325,2790.76923077,1.08695652,,0,,,,,,,,,2,0,,,,,907,2026-01-30,2026-02-05
