Ads,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
"ADS 1 || Peredam Mobil;...and 3 more ads",active,ad,20727,33739.71148743,24609,28417.36762973,1.18729194,116,325,1.32065504,2151.76307692,0.47137226,6028.64655172,115,0.46956522,54,12950.42592593,222,12,58276.91666667,"Messaging conversations started",54,12950.42592593,699323,2026-01-23,2026-01-29
"ADS 6 || SV (EP);...and 2 more ads",active,ad,5167,51374.68550416,7186,36940.30058447,1.39074898,35,89,1.23851934,2982.61797753,0.48705817,7584.37142857,35,0.45714286,16,16590.8125,78,2,132726.5,"Messaging conversations started",16,16590.8125,265453,2026-01-23,2026-01-29
"ADS 2 || SV (manual upload)",active,ad,3151,60139.95556966,5365,35321.71481827,1.70263408,12,45,0.8387698,4211.13333333,0.22367195,15791.75,12,0.5,6,31583.5,57,1,189501,"Messaging conversations started",6,31583.5,189501,2026-01-23,2026-01-29
"Ads 2 - (Manual Upload)",active,ad,10482,12702.63308529,12191,10921.90960545,1.1630414,306,298,2.44442622,446.80872483,2.5100484,435.12745098,,,,,329,39,3414.07692308,"Instagram profile visits",329,404.70820669,133149,2026-01-23,2026-01-29
"ADS 2 || Service;...and 1 more ad",active,ad,3277,35377.17424474,4253,27258.64095932,1.29783338,14,45,1.05807665,2576.24444444,0.3291794,8280.78571429,14,0.35714286,5,23186.2,40,2,57965.5,"Messaging conversations started",5,23186.2,115931,2026-01-23,2026-01-29
"ADS 2 || SV",inactive,ad,619,69865.91276252,875,49425.14285714,1.41357027,3,7,0.8,6178.14285714,0.34285714,14415.66666667,3,0.66666667,2,21623.5,10,0,,"Messaging conversations started",2,21623.5,43247,2026-01-23,2026-01-29
"ADS 4 || SV (EP)",inactive,ad,665,19778.94736842,730,18017.80821918,1.09774436,6,11,1.50684932,1195.72727273,0.82191781,2192.16666667,6,0.16666667,1,13153,5,0,,"Messaging conversations started",1,13153,13153,2026-01-23,2026-01-29
"Ads 1 - (Manual Upload)",active,ad,2151,3510.92515109,2151,3510.92515109,1,47,46,2.13854021,164.17391304,2.18503022,160.68085106,,,,,47,1,7552,"Instagram profile visits",47,160.68085106,7552,2026-01-23,2026-01-29
"ADS 2 || Servis berkala;...and 3 more ads",active,ad,49,45571.42857143,59,37847.45762712,1.20408163,,0,,,,,,,,,1,0,,,,,2233,2026-01-23,2026-01-29
