Objective,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
OUTCOME_SALES,,,59652,45694.93059747,112819,24160.77079215,1.89128613,470,1125,0.99717246,2422.928,0.4165965,5799.56170213,468,0.32478632,152,17932.85526316,795,34,80170.41176471,"Messaging conversations started",152,17932.85526316,2725794,2026-01-30,2026-02-05
LINK_CLICKS,,,24111,5731.53332504,27074,5104.26977912,1.12288997,589,582,2.14966388,237.44501718,2.17551895,234.62308998,,,,,612,30,4606.43333333,"Instagram profile visits",612,225.80555556,138193,2026-01-30,2026-02-05
