Objective,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Messaging conversations started,Cost per messaging conversation started,Instagram follows,Outbound clicks,Results,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
LINK_CLICKS,1551116,2222046,182.57993794999996,40869,45315,17955819,186,96536.66129032258,1425,1635,26540,8080.75935421679,1.8392508525926106,439.3505835719005,2025-12-26,2026-01-25
OUTCOME_SALES,666867,1007817,627.6505473599997,4131,13248,40853652,686,59553.42857142857,801,3921,686,40536.7760218373,0.40989584418599806,9889.530864197532,2025-12-26,2026-01-25
