Placement,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Messaging conversations started,Cost per messaging conversation started,Instagram follows,Outbound clicks,Results,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
Instagram Reels,427130,584867,41.27310621,8626,11185,9755960,192,50812.291666666664,416,428,8393,16680.647053090703,1.4748652257692774,1130.9946672849524,2025-12-26,2026-01-25
Feed,94282,125893,42.99793207,756,1714,5047068,87,58012.275862068964,133,231,663,40090.1400395574,0.600509956868134,6676.015873015873,2025-12-26,2026-01-25
Instagram Stories,237547,336785,48.491086890000005,5533,6454,4676090,151,30967.48344370861,190,1193,4524,13884.49604346987,1.6428878958385913,845.127417314296,2025-12-26,2026-01-25
Status,24281,24682,6.8704996199999995,64,136,103078,6,17179.666666666668,,,6,4176.241795640548,0.25929827404586336,1610.59375,2025-12-26,2026-01-25
Explore,1176,1372,22.05333945,12,18,15559,,,2,,12,11340.379008746355,0.8746355685131195,1296.5833333333333,2025-12-26,2026-01-25
Explore home,2653,3022,10.83500423,9,14,5402,,,1,,15,1787.557908669755,0.29781601588352086,600.2222222222222,2025-12-26,2026-01-25
